LAP,GAS_TIME,GAS_TIME_(FUEL_CORRECTED),GAS_POSITION,GAS_POSITION_CHANGE,GAS_COMPOUND,GAS_STINT,GAS_PITSTOP,GAS_TIRE_LIFE,GAS_S1,GAS_S2,GAS_S3,GAS_SECTOR_SUM,GAS_STATUS,GAS_PERSONAL_BEST,COL_TIME,COL_TIME_(FUEL_CORRECTED),COL_POSITION,COL_POSITION_CHANGE,COL_COMPOUND,COL_STINT,COL_PITSTOP,COL_TIRE_LIFE,COL_S1,COL_S2,COL_S3,COL_SECTOR_SUM,COL_STATUS,COL_PERSONAL_BEST
Lap number in the session,Lap time in seconds,Lap time adjusted for fuel load (lighter fuel = faster theoretical pace),Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap),Lap time in seconds,Lap time adjusted for fuel load (lighter fuel = faster theoretical pace),Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap)
35,75.672,74.15087323943662,8,2,MEDIUM,2,FALSE,17,19.166,39.486,17.02,75.672,1,FALSE,74.504,72.98287323943663,15,0,SOFT,2,FALSE,6,19.041,38.341,17.122,74.504,1,FALSE
36,75.022,73.54312676056338,8,0,MEDIUM,2,FALSE,18,19.06,38.923,17.039,75.022,1,FALSE,74.751,73.27212676056338,14,1,SOFT,2,FALSE,7,19.178,38.472,17.101,74.751,1,FALSE
37,75.054,73.61738028169015,7,1,MEDIUM,2,FALSE,19,18.987,38.967,17.1,75.054,1,FALSE,74.417,72.98038028169015,13,1,SOFT,2,FALSE,8,19.114,38.226,17.077,74.417,1,FALSE
38,75.387,73.9926338,7,0,MEDIUM,2,FALSE,20,19.377,38.866,17.144,75.387,1,FALSE,76.046,74.6516338,14,-1,SOFT,2,FALSE,9,19.34,39.562,17.144,76.04599999999999,1,FALSE
39,78.463,77.11088732394366,8,-1,MEDIUM,2,FALSE,21,19.021,38.481,20.961,78.463,1,FALSE,74.745,73.39288732394367,13,1,SOFT,2,FALSE,10,19.103,38.504,17.138,74.745,1,FALSE
40,92.407,91.09714084507041,16,-8,MEDIUM,3,TRUE,7,37.588,38.119,16.7,92.407,1,FALSE,74.663,73.35314084507041,12,1,SOFT,2,FALSE,11,19.135,38.451,17.077,74.663,1,FALSE
41,74.774,73.50639436619718,15,1,MEDIUM,3,FALSE,8,18.871,39.059,16.844,74.774,1,FALSE,74.97,73.70239436619718,12,0,SOFT,2,FALSE,12,19.1,38.715,17.155,74.97,1,FALSE
42,73.736,72.51064788732394,15,0,MEDIUM,3,FALSE,9,18.923,37.88,16.933,73.73599999999999,1,FALSE,76.38,75.15464788732393,13,-1,SOFT,2,FALSE,13,19.724,39.492,17.164,76.38,1,FALSE
43,74.029,72.84590141,14,1,MEDIUM,3,FALSE,10,19.045,37.99,16.994,74.029,1,FALSE,79.598,78.41490141,16,-3,SOFT,2,FALSE,14,19.403,39.142,21.053,79.598,1,FALSE
44,74.281,73.14015492957748,14,0,MEDIUM,3,FALSE,11,19.19,38.199,16.892,74.28099999999999,1,FALSE,94.676,93.53515492957747,17,-1,MEDIUM,3,TRUE,1,39.837,37.963,16.876,94.67600000000002,1,FALSE
45,74.128,73.02940845070422,14,0,MEDIUM,3,FALSE,12,18.949,38.157,17.022,74.12799999999999,1,FALSE,72.816,71.71740845070423,17,0,MEDIUM,3,FALSE,2,18.915,37.1,16.801,72.816,1,FALSE
46,74.113,73.05666197183099,13,1,MEDIUM,3,FALSE,13,19.042,38.294,16.777,74.113,1,FALSE,73.363,72.30666197183099,17,0,MEDIUM,3,FALSE,3,18.914,37.454,16.995,73.363,1,FALSE
47,74.447,73.43291549295775,13,0,MEDIUM,3,FALSE,14,18.786,38.768,16.893,74.447,1,FALSE,74.181,73.16691549295774,17,0,MEDIUM,3,FALSE,4,18.882,38.36,16.939,74.18100000000001,1,FALSE
48,74.607,73.63516901408451,12,1,MEDIUM,3,FALSE,15,18.981,38.737,16.889,74.607,1,FALSE,74.034,73.06216901408452,16,1,MEDIUM,3,FALSE,5,19.024,38.068,16.942,74.03399999999999,1,FALSE
49,75.086,74.15642253521126,12,0,MEDIUM,3,FALSE,16,18.977,39.234,16.875,75.086,1,FALSE,73.795,72.86542253521127,16,0,MEDIUM,3,FALSE,6,18.851,37.923,17.021,73.795,1,FALSE
50,74.576,73.68867605633802,12,0,MEDIUM,3,FALSE,17,18.956,38.763,16.857,74.576,1,FALSE,73.794,72.90667605633803,16,0,MEDIUM,3,FALSE,7,19,37.775,17.019,73.794,1,FALSE
51,74.878,74.03292957746478,12,0,MEDIUM,3,FALSE,18,18.97,38.891,17.017,74.878,1,FALSE,74.037,73.19192957746479,16,0,MEDIUM,3,FALSE,8,18.9,38.081,17.056,74.037,1,FALSE
52,74.958,74.15518309859155,11,1,MEDIUM,3,FALSE,19,18.909,39.165,16.884,74.958,1,FALSE,74.134,73.33118309859155,16,0,MEDIUM,3,FALSE,9,19.022,38.094,17.018,74.134,1,FALSE
53,74.78,74.01943662,11,0,MEDIUM,3,FALSE,20,19.057,38.739,16.984,74.78,1,FALSE,74.124,73.36343662,16,0,MEDIUM,3,FALSE,10,19.004,38.084,17.036,74.12400000000001,1,FALSE
54,74.553,73.83469014084507,11,0,MEDIUM,3,FALSE,21,18.92,38.623,17.01,74.553,1,FALSE,74.044,73.32569014084507,16,0,MEDIUM,3,FALSE,11,18.99,38.011,17.043,74.04400000000001,1,FALSE
55,74.534,73.85794366197183,10,1,MEDIUM,3,FALSE,22,18.99,38.58,16.964,74.53399999999999,1,FALSE,74.112,73.43594366197182,15,1,MEDIUM,3,FALSE,12,18.943,38.086,17.083,74.112,1,FALSE
56,74.518,73.88419718309859,10,0,MEDIUM,3,FALSE,23,19.08,38.552,16.886,74.518,1,FALSE,74.02,73.38619718309859,14,1,MEDIUM,3,FALSE,13,18.943,38.041,17.036,74.02,1,FALSE
57,74.358,73.76645070422536,10,0,MEDIUM,3,FALSE,24,18.841,38.542,16.975,74.358,1,FALSE,74.127,73.53545070422535,14,0,MEDIUM,3,FALSE,14,18.97,38.056,17.101,74.127,1,FALSE
58,74.411,73.86170422535211,10,0,MEDIUM,3,FALSE,25,18.909,38.565,16.937,74.411,1,FALSE,73.967,73.41770422535211,14,0,MEDIUM,3,FALSE,15,18.971,37.916,17.08,73.967,1,FALSE
59,74.529,74.02195774647888,10,0,MEDIUM,3,FALSE,26,19.018,38.498,17.013,74.529,1,FALSE,74.908,74.40095774647888,15,-1,MEDIUM,3,FALSE,16,19.069,38.719,17.12,74.908,1,FALSE
60,74.711,74.24621126760563,10,0,MEDIUM,3,FALSE,27,19.023,38.737,16.951,74.71100000000001,1,FALSE,74.497,74.03221126760563,15,0,MEDIUM,3,FALSE,17,19.024,38.456,17.017,74.497,1,FALSE
61,74.541,74.11846479,10,0,MEDIUM,3,FALSE,28,18.97,38.66,16.911,74.541,1,FALSE,74.3,73.87746479,15,0,MEDIUM,3,FALSE,18,18.997,38.309,16.994,74.3,1,FALSE
62,74.309,73.92871830985915,10,0,MEDIUM,3,FALSE,29,18.996,38.374,16.939,74.309,1,FALSE,74.033,73.65271830985915,15,0,MEDIUM,3,FALSE,19,19.073,37.956,17.004,74.033,1,FALSE
63,74.405,74.06697183098592,10,0,MEDIUM,3,FALSE,30,18.983,38.462,16.96,74.405,1,FALSE,73.953,73.61497183098592,15,0,MEDIUM,3,FALSE,20,19.004,37.887,17.062,73.953,1,FALSE
64,74.171,73.87522535211268,10,0,MEDIUM,3,FALSE,31,18.806,38.446,16.919,74.17099999999999,1,FALSE,73.972,73.67622535211267,15,0,MEDIUM,3,FALSE,21,18.897,38.087,16.988,73.97200000000001,1,FALSE
65,74.56,74.30647887323944,10,0,MEDIUM,3,FALSE,32,18.994,38.628,16.938,74.56,1,FALSE,74.187,73.93347887323944,15,0,MEDIUM,3,FALSE,22,18.959,38.168,17.06,74.187,1,FALSE
66,75.062,74.85073239436619,10,0,MEDIUM,3,FALSE,33,18.932,39.162,16.968,75.062,1,FALSE,74.003,73.79173239436619,15,0,MEDIUM,3,FALSE,23,18.946,38.144,16.913,74.003,1,FALSE
67,75.612,75.44298591549295,10,0,MEDIUM,3,FALSE,34,19.2,39.535,16.877,75.612,1,FALSE,74.285,74.11598591549296,15,0,MEDIUM,3,FALSE,24,18.858,38.482,16.945,74.285,1,FALSE
68,75.403,75.27623943661972,10,0,MEDIUM,3,FALSE,35,19.115,39.291,16.997,75.40299999999999,1,FALSE,74.11,73.98323943661971,15,0,MEDIUM,3,FALSE,25,18.877,38.277,16.956,74.11,1,FALSE
69,75.318,75.23349295774648,10,0,MEDIUM,3,FALSE,36,19.09,39.226,17.002,75.318,1,FALSE,74.287,74.20249295774649,15,0,MEDIUM,3,FALSE,26,18.823,38.372,17.092,74.287,1,FALSE
70,75.943,75.90074647887323,10,0,MEDIUM,3,FALSE,37,19.265,39.703,16.975,75.94300000000001,1,FALSE,74.779,74.73674647887323,15,0,MEDIUM,3,FALSE,27,19.189,38.583,17.007,74.779,1,FALSE
71,77.029,77.029,10,0,MEDIUM,3,FALSE,38,19.308,40.719,17.002,77.029,1,FALSE,74.857,74.857,15,0,MEDIUM,3,FALSE,28,19.067,38.626,17.164,74.857,1,FALSE
